Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;31;1279036;194789401;231;196068668;3197.590;486973.500;0.577;490171.688
Placas11002.jpg;31;1278376;194816067;303;196094746;3195.940;487040.156;0.757;490236.875
Placas11004.jpg;31;1281506;194790099;319;196071924;3203.765;486975.219;0.798;490179.781
Placas11013.jpg;31;1280662;194856091;197;196136950;3201.655;487140.219;0.493;490342.375
Placas11017.jpg;32;1279166;194826641;213;196106020;3197.915;487066.625;0.533;490265.031
Placas11022.jpg;32;1277598;194870289;361;196148248;3193.995;487175.719;0.902;490370.625
Placas11026.jpg;32;1280402;194786839;213;196067454;3201.005;486967.094;0.533;490168.625
Placas11044.jpg;32;1279347;194893405;215;196172967;3198.367;487233.500;0.538;490432.406
Placas11065.jpg;33;1275374;194857577;321;196133272;3188.435;487143.969;0.803;490333.188
Placas11070.jpg;32;1280956;194870219;307;196151482;3202.390;487175.531;0.767;490378.719
Placas11076.jpg;31;1280338;194780825;289;196061452;3200.845;486952.063;0.723;490153.625
Placas11091.jpg;32;1281482;194915587;295;196197364;3203.705;487288.969;0.738;490493.406
Placas11116.jpg;32;1292290;194800039;273;196092602;3230.725;487000.094;0.683;490231.500
Placas11118.jpg;32;1281962;194820709;479;196103150;3204.905;487051.781;1.197;490257.906
Placas11122.jpg;32;1279362;194887941;195;196167498;3198.405;487219.844;0.488;490418.750
Placas11123.jpg;32;1279121;194885290;339;196164750;3197.802;487213.250;0.848;490411.875
Placas11135.jpg;32;1290636;194909567;275;196200478;3226.590;487273.938;0.687;490501.219
Placas11148.jpg;32;1280640;194801195;259;196082094;3201.600;487003.000;0.647;490205.250
Placas11179.jpg;32;1280416;194814833;231;196095480;3201.040;487037.094;0.577;490238.719
Placas11191.jpg;32;1280621;194876512;397;196157530;3201.552;487191.281;0.993;490393.844
Placas11193.jpg;32;1291586;194817885;275;196109746;3228.965;487044.719;0.687;490274.375
Placas11194.jpg;32;1280892;194792515;259;196073666;3202.230;486981.250;0.647;490184.156
Placas11199.jpg;33;1280966;194917631;225;196198822;3202.415;487294.063;0.562;490497.063
Placas11208.jpg;32;1275637;194820626;207;196096470;3189.093;487051.563;0.517;490241.156
Placas11209.jpg;32;1280888;194738577;209;196019674;3202.220;486846.469;0.522;490049.188
Placas11218.jpg;32;1279718;194769277;273;196049268;3199.295;486923.219;0.683;490123.156
Placas11219.jpg;33;1279754;194887699;195;196167648;3199.385;487219.250;0.488;490419.125
Placas11227.jpg;32;1280600;194858589;411;196139600;3201.500;487146.469;1.028;490349.000
Placas11249.jpg;33;1280870;194842313;317;196123500;3202.175;487105.781;0.793;490308.781
Placas11250.jpg;34;1278815;194786724;293;196065832;3197.037;486966.781;0.733;490164.563
Placas11254.jpg;32;1282622;194872037;409;196155068;3206.555;487180.063;1.023;490387.656
Placas11264.jpg;32;1277672;194888547;307;196166526;3194.180;487221.344;0.767;490416.313
Placas11298.jpg;33;1280739;194813862;303;196094904;3201.847;487034.656;0.757;490237.313
Placas11315.jpg;33;1279092;194855917;205;196135214;3197.730;487139.813;0.512;490338.031
Placas11318.jpg;32;1280750;194844143;367;196125260;3201.875;487110.375;0.918;490313.188
Placas11320.jpg;32;1280787;194850090;1157;196132034;3201.967;487125.250;2.892;490330.063
Placas11321.jpg;32;1279486;194841027;263;196120776;3198.715;487102.563;0.658;490301.938
Placas11350.jpg;33;1280731;194843602;313;196124646;3201.827;487109.031;0.783;490311.594
Placas11353.jpg;32;1280756;194792981;365;196074102;3201.890;486982.438;0.913;490185.250
Placas11366.jpg;32;1280886;194820393;309;196101588;3202.215;487051.000;0.772;490253.938
Placas11377.jpg;32;1279098;194808637;209;196087944;3197.745;487021.594;0.522;490219.844
Placas11388.jpg;33;1279361;194731066;303;196010730;3198.403;486827.656;0.757;490026.813
Placas11397.jpg;32;1277872;194813171;317;196091360;3194.680;487032.938;0.793;490228.406
Placas11402.jpg;32;1279486;194827637;305;196107428;3198.715;487069.094;0.762;490268.531
Placas11419.jpg;32;1280936;194810645;213;196091794;3202.340;487026.594;0.533;490229.500
Placas11428.jpg;32;1277649;194831059;195;196108903;3194.122;487077.656;0.488;490272.250
Placas11453.jpg;32;1277137;194835266;367;196112770;3192.843;487088.188;0.918;490281.938
Placas11456.jpg;33;1276252;194879417;381;196156050;3190.630;487198.563;0.952;490390.125
Placas11460.jpg;32;1279866;194748005;399;196028270;3199.665;486870.000;0.998;490070.688
Placas11463.jpg;32;1279098;194800051;321;196079470;3197.745;487000.125;0.803;490198.656
Placas11496.jpg;33;1278980;194796243;245;196075468;3197.450;486990.625;0.613;490188.688
Placas11500.jpg;33;1278350;194743711;195;196022256;3195.875;486859.281;0.488;490055.656
Placas11507.jpg;32;1280036;194824875;319;196105230;3200.090;487062.219;0.798;490263.094
Placas11522.jpg;32;1280426;194869285;321;196150032;3201.065;487173.188;0.803;490375.094
Placas11528.jpg;34;1278290;194757647;275;196036212;3195.725;486894.094;0.687;490090.531
Placas11531.jpg;32;1281788;194826218;215;196108221;3204.470;487065.563;0.538;490270.563
Placas11534.jpg;33;1281116;194874683;215;196156014;3202.790;487186.750;0.538;490390.063
Placas11549.jpg;32;1276904;194871645;1377;196149926;3192.260;487179.094;3.442;490374.781
Placas11556.jpg;33;1279370;194798207;207;196077784;3198.425;486995.531;0.517;490194.469
